ID      Name                 Rate(£)   Hours    Gross(£)     Tax(£)      Net(£)
BW839   NCarter                10.15   95.00      964.25      0.00      964.25
DM452   EFoster                20.25   80.00     1620.00    114.50     1505.50
HT391   MHarrison              16.30  145.00     2363.50    263.20     2100.30
KC148   LParker                19.30  160.00     3088.00    408.10     2679.90
LF204   SBennett               15.43  150.00     2314.50    253.40     2061.10
NZ670   AThompson              13.45  140.00     1883.00    167.10     1715.90
PG583   MWilson                14.23  160.00     2276.80    245.86     2030.94
QV726   ODavis                 24.20  160.00     3872.00    564.90     3307.10
XJ936   JEdwards               12.00    1.00       12.00      0.00       12.00
XR517   LAnderson              11.60   40.00      464.00      0.00      464.00
