ID      Name                 Rate(£)   Hours    Gross(£)     Tax(£)      Net(£)
BW839   NCarter                10.15   89.00      903.35      0.00      903.35
DM452   EFoster                20.25  160.00     3240.00    438.50     2801.50
HT391   MHarrison              16.30  140.00     2282.00    246.90     2035.10
KC148   LParker                19.30  141.50     2730.95    336.69     2394.26
LF204   SBennett               15.43   54.00      833.22      0.00      833.22
NZ670   AThompson              13.45  160.00     2152.00    220.90     1931.10
PG583   MWilson                14.23  150.50     2141.62    218.82     1922.79
QV726   ODavis                 24.20  160.00     3872.00    564.90     3307.10
XJ936   JEdwards               12.00   10.00      120.00      0.00      120.00
XR517   LAnderson              11.60   97.00     1125.20     15.54     1109.66
